epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,290.204,0.39094,0.77912,0.90843,0.82572,0.83333,0.80808,0.76267,0.41097,2.15995,0.82108,0.000177684,0.000177684,0.000177684
41,297.327,0.30763,1.63667,0.91154,0.82575,0.83333,0.80808,0.76279,0.39671,2.13309,0.81742,0.0001664,0.0001664,0.0001664
42,304.612,0.32141,1.63186,0.89987,0.82575,0.83333,0.80808,0.76279,0.39671,2.13309,0.81742,0.000154324,0.000154324,0.000154324
43,312.219,0.28897,1.30248,0.85465,0.82565,0.83333,0.80808,0.78778,0.38791,2.17294,0.81576,0.000141456,0.000141456,0.000141456
44,319.657,0.32168,1.31883,0.89046,0.82565,0.83333,0.80808,0.78778,0.38791,2.17294,0.81576,0.000127796,0.000127796,0.000127796
45,327.294,0.28071,1.26866,0.82657,0.82611,0.83333,0.80808,0.8076,0.37654,2.265,0.81778,0.000113344,0.000113344,0.000113344
46,335.185,0.27121,1.17619,0.86875,0.82611,0.83333,0.80808,0.8076,0.37654,2.265,0.81778,9.81e-05,9.81e-05,9.81e-05
47,342.786,0.3003,1.30642,0.80193,0.82731,0.83333,0.80811,0.80774,0.36761,2.30114,0.81665,8.2064e-05,8.2064e-05,8.2064e-05
48,350.488,0.26651,1.20981,0.9035,0.82731,0.83333,0.80811,0.80774,0.36761,2.30114,0.81665,6.5236e-05,6.5236e-05,6.5236e-05
49,358.06,0.27828,1.21475,0.81216,0.82847,0.83333,0.80809,0.80773,0.36587,2.28776,0.81722,4.7616e-05,4.7616e-05,4.7616e-05
50,365.458,0.26305,1.23689,0.87196,0.82847,0.83333,0.80809,0.80773,0.36587,2.28776,0.81722,2.9204e-05,2.9204e-05,2.9204e-05
1,31.9473,0.72015,3.11218,1.08411,0.00454,0.8,0.46455,0.40531,0.4886,3.37444,0.9617,3.334e-05,3.334e-05,3.334e-05
2,62.583,0.58825,2.94656,0.99576,0.00564,0.96667,0.5602,0.50103,0.43369,3.31755,0.93606,8.16997e-05,8.16997e-05,8.16997e-05
3,93.0545,0.57795,2.57299,0.97691,0.00533,0.93333,0.68331,0.61528,0.4376,3.21475,0.91195,0.000128079,0.000128079,0.000128079
4,123.419,0.62997,1.87142,1.0047,0.00576,1,0.72095,0.64531,0.4555,3.00771,0.91412,0.000172478,0.000172478,0.000172478
5,153.872,0.65275,1.39937,1.01878,0.87928,0.31625,0.71806,0.59936,0.60311,2.74508,0.99272,0.000214896,0.000214896,0.000214896
6,184.05,0.65066,1.26775,0.9897,0.63057,0.30303,0.67114,0.55979,0.56633,2.67497,0.99126,0.000255334,0.000255334,0.000255334
7,214.518,0.6676,1.19627,1.02843,0.68631,0.30303,0.63637,0.53346,0.55813,2.66583,0.96632,0.000293792,0.000293792,0.000293792
8,245.09,0.58989,1.13968,1.0042,0.88572,0.31329,0.71189,0.6246,0.56381,2.68298,0.96044,0.000330269,0.000330269,0.000330269
9,275.516,0.7297,1.22046,1.05269,0.86429,0.49697,0.74637,0.62666,0.62054,2.64253,1.00151,0.000364766,0.000364766,0.000364766
10,305.644,0.6136,1.1604,0.96965,0.88267,0.513,0.75641,0.60699,0.64647,2.6267,1.0183,0.000397283,0.000397283,0.000397283
11,336.075,0.61342,1.0834,0.96682,0.95927,0.54497,0.83495,0.69008,0.60389,2.6042,1.00212,0.000427819,0.000427819,0.000427819
12,366.275,0.60777,0.92483,0.98215,0.93798,0.588,0.85287,0.74486,0.54947,2.48726,0.98226,0.000456375,0.000456375,0.000456375
13,396.598,0.54216,0.92471,0.9389,0.91831,0.64919,0.89175,0.78501,0.55772,2.14618,0.98149,0.00048295,0.00048295,0.00048295
14,426.544,0.62119,0.98506,1.02956,0.95784,0.68912,0.90424,0.77868,0.60328,2.17927,0.98945,0.000507545,0.000507545,0.000507545
15,456.839,0.6209,0.94841,0.99213,0.88975,0.67148,0.9278,0.76391,0.63367,2.40011,1.00125,0.000530159,0.000530159,0.000530159
16,487.125,0.59655,0.9443,0.99462,0.89969,0.64873,0.93168,0.77729,0.6244,2.4877,0.97811,0.000550793,0.000550793,0.000550793
17,518.782,0.63561,1.02078,1.02944,0.86017,0.55,0.88159,0.73443,0.63398,2.46205,0.98439,0.000569447,0.000569447,0.000569447
18,548.917,0.62279,0.90288,0.9376,0.84846,0.59308,0.95776,0.79512,0.63791,2.31644,1.01426,0.000586121,0.000586121,0.000586121
19,580.555,0.58164,0.98881,0.94285,0.83013,0.73429,0.96133,0.79858,0.65796,2.20561,1.01107,0.000600813,0.000600813,0.000600813
20,613.392,0.59035,1.05673,0.95692,0.86433,0.84155,0.9755,0.80909,0.68283,2.0391,1.01796,0.000613526,0.000613526,0.000613526
21,644.979,0.60869,0.93015,0.98623,0.88672,0.88412,0.97036,0.81577,0.69598,1.94481,1.02979,0.000624258,0.000624258,0.000624258
22,675.568,0.58438,0.89026,0.94617,0.86497,0.9436,0.98115,0.83199,0.70854,1.86308,1.02422,0.00063301,0.00063301,0.00063301
23,706.512,0.63787,0.91054,0.95667,0.90893,0.87381,0.98,0.81186,0.73306,1.89896,1.01822,0.000639781,0.000639781,0.000639781
24,737.148,0.6483,0.90965,1.00022,0.93017,0.86355,0.98375,0.77787,0.77115,1.92365,1.11041,0.000644572,0.000644572,0.000644572
25,1364.66,0.56729,0.8621,0.94769,0.92861,0.89109,0.98375,0.79183,0.73149,1.89653,1.10095,0.000647383,0.000647383,0.000647383
26,1400.13,0.64934,0.85399,1.00268,0.92034,0.95951,0.9799,0.79354,0.69685,1.79814,1.07472,0.000648213,0.000648213,0.000648213
